recursion, loop, algo, allowedP, trueP, n, sentinel, time, 
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 524288, 309.047, 0.0449152
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 623487, 655.52, 0.0933812
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 741455, 96.6169, 0.0932313
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 881743, 161.942, 0.0936864
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 1048576, 550.877, 0.0977652
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 1246974, 103.408, 0.205308
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 1482910, 265.466, 0.21655
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 1763487, 1022.81, 0.227583
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 2097152, 1672.13, 0.231469
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 2493948, 1085.24, 0.44721
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 2965820, 473.371, 0.446241
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 3526975, 836.634, 0.467618
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 4194304, 1679.33, 0.460598
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 4987896, 768.932, 0.900834
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 5931641, 559.983, 0.923746
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 7053950, 1307.88, 0.964483
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 8388608, 2882.48, 0.949831
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 9975792, 3553.85, 1.83524
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 11863283, 1940.72, 1.92276
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 14107900, 1159.23, 1.98564
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 16777216, 3402.48, 1.93742
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 19951584, 2187.89, 3.72135
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 23726566, 3263.95, 3.81608
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 28215801, 3521.84, 4.00842
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 33554432, 4734.21, 4.01399
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 39903169, 1428.68, 7.71986
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 47453132, 1864.09, 7.83573
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 56431603, 2422.51, 8.23238
1 - 128, hpce.fast_fourier_transform_combined, 8, 8, 67108864, 4805.36, 8.42495
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 16, 5.08428, 0.0060485
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 19, 3.74151, 0.0001039
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 22, 2.7268, 7.62e-05
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 26, 3.69267, 4.71e-05
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 32, 5.12512, 8.14e-05
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 38, 10.1649, 7.48e-05
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 45, 4.59897, 0.0001032
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 53, 6.24848, 9.19e-05
